rate_of_unique_words_content,rate_of_non_stop_words_content,rate_of_unique_non_stop_words_content,positive_content,negative_content,polarity_content,subjectivity_content,rate_of_unique_words_title,rate_of_non_stop_words_title,rate_of_unique_non_stop_words_title,positive_title,negative_title,polarity_title,subjectivity_title,site_type,shares,likes
0.4004424778761062,0.6349557522123894,0.8674033149171271,1.0,1.5327735456949155e-15,0.10800865800865801,0.415055315055315,0.8823529411764706,0.7647058823529411,0.7333333333333333,0.11806880353325132,0.8819311964667468,0.0,0.0,news,287,287
0.4792626728110599,0.6589861751152074,0.7692307692307693,0.999999997872275,2.1276842585459354e-09,0.08302139037433154,0.3135026737967914,1.0,0.6666666666666666,0.6666666666666666,0.6706852791878173,0.32931472081218266,0.0,0.0,news,794,794
0.6973684210526315,0.6052631578947368,0.6792452830188679,0.9961650740885044,0.0038349259114907447,-0.1,0.6,1.0,0.875,0.875,0.4655073128541833,0.5344926871458185,-0.2,0.0,news,111,111
0.4204946996466431,0.5477031802120141,0.7647058823529411,0.9999999999192677,8.072753628043558e-11,0.0245238095238095,0.39000000000000007,0.8823529411764706,0.7647058823529411,0.7333333333333333,0.29457588950389496,0.7054241104961053,0.04166666666666668,0.4666666666666667,news,293,293
0.431924882629108,0.6291079812206573,0.782608695652174,0.9999999239253827,7.607461020193292e-08,0.03704545454545454,0.488474025974026,1.0,0.8125,0.8125,0.2272856831493155,0.7727143168506854,0.0,0.25,news,638,638
0.31942215088282505,0.550561797752809,0.7989949748743719,0.9999999987976435,1.2022848197630633e-09,0.021052631578947368,0.24473684210526317,1.0,0.625,0.625,0.8166305250352768,0.18336947496472059,0.0,0.0,news,123,123
0.30741626794258375,0.5263157894736842,0.8638132295719845,0.9999999999996848,3.669082453562207e-13,0.12206015037593984,0.3871622646359488,1.0,0.8,0.8,0.3447686674137146,0.655231332586286,-0.2,0.2,news,224,224
0.552,0.62,0.7898550724637681,0.9999999698767068,3.0123263661198503e-08,0.21519660894660894,0.45780122655122657,0.75,0.5,0.6666666666666666,0.3001316710210451,0.699868328978956,0.5,0.3,news,288,288
0.36538461538461536,0.6346153846153846,0.7631578947368421,0.9992104100547861,0.0007895899452083409,0.21912878787878787,0.4672348484848485,1.0,0.6666666666666666,0.6666666666666666,0.8933859105749066,0.10661408942509254,0.3333333333333333,0.6666666666666666,news,108,108
0.4701492537313433,0.5,0.5238095238095238,0.9949955360821986,0.005004463917807019,0.09090909090909091,0.2208874458874459,1.0,0.8,0.8,0.8424894046874054,0.1575105953125966,0.0,0.0,news,653,653
0.42272727272727273,0.4818181818181818,0.6774193548387096,0.9999977960543465,2.203945652981427e-06,0.009090909090909101,0.5258585858585858,1.0,0.7333333333333333,0.7333333333333333,0.5005508069727163,0.4994491930272827,0.0,0.0,news,272,272
0.3599290780141844,0.6737588652482269,0.8374384236453202,0.9999999993591845,6.408060297032311e-10,0.12224025974025975,0.3651785714285714,1.0,0.7692307692307693,0.7692307692307693,0.9300872874685645,0.06991271253143455,0.0,0.0,news,348,348
0.4101694915254237,0.4101694915254237,0.7107438016528925,0.9999964097064011,3.590293605182775e-06,0.23712632275132275,0.5655919312169312,1.0,0.75,0.75,0.8720691674763948,0.1279308325236054,0.17222222222222222,0.6444444444444445,news,453,453
0.24952380952380954,0.49333333333333335,0.8625954198473282,0.8792484300920623,0.12075156990801246,0.13291119627185202,0.5195691103068152,1.0,0.6666666666666666,0.6666666666666666,0.41061949495976674,0.5893805050402343,0.0,0.0,news,170,170
0.34296977660972405,0.5479632063074902,0.8122605363984674,0.9999999999970055,3.014448064648877e-12,0.07315307573782148,0.49145258696106153,1.0,0.7333333333333333,0.7333333333333333,0.8906920301624149,0.10930796983758329,0.0,0.0,news,708,708
0.3554913294797688,0.6069364161849711,0.7398373983739838,0.9999998156964476,1.843035904900995e-07,-0.06706730769230765,0.3596153846153846,1.0,0.7,0.7,0.8379042217638615,0.16209577823613702,-0.375,0.5,news,365,365
0.3665768194070081,0.568733153638814,0.8014705882352942,0.9999980095680016,1.9904319626298996e-06,-0.03666666666666665,0.41925925925925933,1.0,0.7272727272727273,0.7272727272727273,0.6399700358040918,0.36002996419590916,0.0,0.0,news,123,123
0.24158125915080528,0.5461200585651538,0.8181818181818182,1.0,6.702256089462639e-15,0.08551282051282053,0.48371794871794865,1.0,0.7777777777777778,0.7777777777777778,0.09124526587719543,0.9087547341228042,-0.4,0.9,news,524,524
0.2978723404255319,0.5875613747954174,0.8186813186813187,1.0,4.225610542019835e-21,0.15720733167541676,0.4856083632679377,0.9,0.8,0.7777777777777778,0.9486388121587475,0.051361187841251495,0.08333333333333333,0.5,news,248,248
0.40492957746478875,0.5950704225352113,0.8,0.9999999205113776,7.948859440271226e-08,-0.0376984126984127,0.27619047619047615,1.0,0.8333333333333334,0.8333333333333334,0.8663480826533208,0.13365191734668,-0.025,0.0,news,104,104
0.25303030303030305,0.55,0.7425149700598802,1.0,1.3981079196422908e-15,-0.0027131782945736494,0.35813953488372097,1.0,0.7777777777777778,0.7777777777777778,0.9651606448738169,0.034839355126183094,0.0,0.0,news,834,834
0.7894736842105263,0.631578947368421,0.6333333333333333,0.865522840268097,0.1344771597319001,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.9059372330695321,0.09406276693046818,0.0,0.0,news,539,539
0.3821428571428571,0.5660714285714286,0.7850467289719626,1.0,3.2456562356437154e-19,0.12065656565656567,0.36904040404040406,0.8333333333333334,0.75,0.7,0.9703321959907055,0.029667804009295938,0.0,0.0,news,236,236
